original_index,dialog_id,turn,utterance,mistral_category,mistral_strategy,qwen_strategy
65,20180904-100019_870_live,2,You know it was pretty laid back....my family chose a seafood theme for dinnera this year... how did your day go?,Conversation Management,Greeting / Rapport,Greeting / Rapport
67,20180904-100019_870_live,3,Awesome...just spending time together is a wonderful opportunity not enough people take advantage of anymore.,Appeal to Values,Activation of Impersonal Commitment,Greeting / Rapport
69,20180904-100019_870_live,4,You are absolutely right... with the holidays eason approaching I always try to locate an organization for my family to actively help raise money or conduct fundraisers for diffetent supplies and such they will need throughout the year,Call to Action,Call to Action,Greeting / Rapport
71,20180904-100019_870_live,5,We just finished a donation drive to provide supplies for teachers... and decided to stick with helping organizations and persons assisting kids... one of which is Save the Children,Rational / Impact Appeal,Rational Appeal,Credibility Appeal
73,20180904-100019_870_live,6,"Absolutely  URL ....it's non-goverment organization that promote's the rights of children for aide with health, education, their overall wellbeing and safety",Rational / Impact Appeal,Rational Appeal,Call to Action
75,20180904-100019_870_live,7,Absolutely.... I love their purpose and Im looking forward to gelpibg as much as possible ... a donation would be wonserful,Call to Action,Call to Action,Commitment and Consistency
77,20180904-100019_870_live,8,Absolutely....that would be greatly appreciates...every dollar counts towards success,Call to Action,Call to Action,Rational Appeal
79,20180904-100019_870_live,9,"Awww, thank you so mich... more amazingly selfless people are needed in the world",Conversation Management,Acknowledgement,Self-feeling Appeal
81,20180904-100019_870_live,10,Your right....if we all do alittle it makea a major impact.... you have a wonderful day and continue being great....thanks again,Social Influence,Unity,Conversation Closing
82,20180904-001208_706_live,0, Given to the needed and less privileged in our society makes a better world ,Norms / Morality / Values,Appeal to Values,Appeal to Values
84,20180904-001208_706_live,1,i am very fine and would want to know if you have considered  giving to support a good course before.... ,Commitment / Consistency,Activation of Personal Commitment,Donation Baseline / Habit Probe
86,20180904-001208_706_live,2,Smile first or First Smile ...this is non governmental organisation established by Snipess Jessey Armah to help put a smile on the face of children in west Africa  ,Authority / Expertise,Authority,Non-persuasive Other
88,20180904-001208_706_live,3,well All for a good Course i will give and never regret it.....if donations are giving for the  helped  needed any where in the world i do not really mind how about you...?,Call to Action,Call to Action,Moral Appeal
90,20180904-001208_706_live,4,this donation is purposefully for Save the Children ,Rational / Impact Appeal,Rational Appeal,Framing
92,20180904-001208_706_live,5,yes this is an international Children Charity organisation ,Authority / Expertise,Credibility Appeal,Credibility Appeal
94,20180904-001208_706_live,6,"this organisation cut accross 12 countries like India, Mexico , Libya , Ghana among many other Countries ....but the main goal is that  we put nutritious amount of food on the table for this children  some part of this donations also is water and Clothing  and more of this goes females to have sanitary pads among other useful  domestic needs  ",Rational / Impact Appeal,Rational Appeal,Rational Appeal
96,20180904-001208_706_live,7,"yes , your help in any other way is possible .",Call to Action,Call to Action,Acknowledgement
98,20180904-001208_706_live,8,none that i know of but trust me you and i and the world as a whole is the Big Company we are each others keeper that is why we are asking you to make a change when you look in that mirror starting with you the person you see in the mirror by doing so we are closer than a brother or a sister to one another  ,Social Influence,Unity,Appeal to Values
100,20180904-001208_706_live,9,thank you so much for the Faith and the good heart of yours we are closer than a brother or sister we are each others keeper...Smile First or First Smile...thank you,Social Influence,Unity,Unity
102,20180904-001208_706_live,10,thank you once again indeed the world can be a better place through Donations a little kindness at a time.....SMILE FIRST OR FIRST SMILE,Norms / Morality / Values,Appeal to Values,Acknowledgement
103,20180904-073734_888_live,0,Good morning.,Conversation Management,Greeting / Rapport,Greeting / Rapport
105,20180904-073734_888_live,1,"I'm great, thank you for asking! Do you have some time today to talk about an amazing charity I am part of?",Conversation Management,Permission / Time Check,Permission / Time Check
107,20180904-073734_888_live,2,"It's called Save the Children and we work towards helping disadvantaged children around the world have adequate food, shelter and healthcare.",Rational / Impact Appeal,Rational Appeal,Appeal to Values
109,20180904-073734_888_live,3,"Great question. No, we work all around the world, wherever our help is needed.",Rational / Impact Appeal,Rational Appeal,Rational Appeal
111,20180904-073734_888_live,4,"Absolutely, we are always looking for individuals who are willing to contribute to the cause.",Call to Action,Call to Action,
113,20180904-073734_888_live,5,A donation of just $1 can help feed a child for 5 days.,Rational / Impact Appeal,Rational Appeal,
115,20180904-073734_888_live,6,The money goes towards providing meals and clean water.,Rational / Impact Appeal,Rational Appeal,Rational Appeal
117,20180904-073734_888_live,7,That's great! Thank you very much for your donation!,Conversation Management,Acknowledgement,Acknowledgement
119,20180904-073734_888_live,8,The research team will collect all donations and send it to Save the Children.,Rational / Impact Appeal,Rational Appeal,Logistics / Coordination
121,20180904-073734_888_live,9,"We do maintain support staff in country who are paid a living wage, but the rest of our staff are volunteers.",Rational / Impact Appeal,Rational Appeal,Logistics / Coordination
123,20180904-133536_2_live,0,Hello how are you today?,Conversation Management,Greeting / Rapport,Greeting / Rapport
125,20180904-133536_2_live,1,"Good thank you for asking, have you ever donated to charity?",Conversation Management,Donation Baseline / Habit Probe,Donation Baseline / Habit Probe
127,20180904-133536_2_live,2,"Great, have you heard of the Save the Children Charity?",Conversation Management,Charity Awareness Probe,Charity Awareness Probe
129,20180904-133536_2_live,3,"Okay, let me inform you. Save the Children is a foundation that helps children all across the world. There are many children that are in major need of help. ",Rational / Impact Appeal,Rational Appeal,
131,20180904-133536_2_live,4,"Helps feed, clothe and provides shelter for children who are in need. Millions of Syrian children have grown up facing the daily threat of violence. In the first two months of 2018 alone, 1,000 children were reportedly killed or injured in intensifying violence. ",Rational / Impact Appeal,Rational Appeal,Moral Appeal
133,20180904-133536_2_live,5,Oh yes and others all over the globe. Would you donate to this charity today?,Call to Action,Call to Action,Call to Action
135,20180904-133536_2_live,6,You can donate the $0.30 form this hit every penny helps. ,Call to Action,Call to Action,Framing
137,20180904-133536_2_live,7,Okay that is great. We appreciate your donation. Knowing that you are willing to help says a lot. ,Conversation Management,Acknowledgement,Acknowledgement
139,20180904-133536_2_live,8,"Like I stated before every penny helps thank you. The donation will be deducted from your pay for this hit. No forms, no sign ups.",Conversation Management,Logistics / Coordination,Framing
141,20180904-133536_2_live,9,Your welcome have a nice day.,Conversation Management,Conversation Closing,Conversation Closing
143,20180904-151909_144_live,0,Hey! How are you doing this evening?,Conversation Management,Greeting / Rapport,Greeting / Rapport
145,20180904-151909_144_live,1,I'm doing pretty good.,Conversation Management,Greeting / Rapport,Greeting / Rapport
147,20180904-151909_144_live,2,Have you ever heard of the charity Save the Children?,Conversation Management,Charity Awareness Probe,Charity Awareness Probe
149,20180904-151909_144_live,3,"They're a great non-governmental organization that promotes children's rights, and support in developing countries.",Authority / Expertise,Credibility Appeal,
151,20180904-151909_144_live,4,"They help all over the world, wherever there is a need.",Rational / Impact Appeal,Rational Appeal,Framing
153,20180904-151909_144_live,5,They helps thousands of children each year. They're funded by public donations. Would you like to donate some or all of your earnings today?,Rational / Impact Appeal,Rational Appeal,Rational Appeal
155,20180904-151909_144_live,6,"It goes to the children, the research team collects all donations and sends it to Save the Children.",Rational / Impact Appeal,Rational Appeal,Credibility Appeal
157,20180904-151909_144_live,7,Absolutely. You can check out  URL for yourself to learn about some of their efforts.,Rational / Impact Appeal,Rational Appeal,Credibility Appeal
159,20180904-151909_144_live,8,"That's great! Every bit helps, I will match your donation myself.",Exchange / Incentives,Reciprocity,Reciprocity
161,20180904-151909_144_live,9,I think we can. Any bit helps.,Exchange / Incentives,Reciprocity,Commitment and Consistency
163,20180904-090422_355_live,0,"Hi, how are you?",Conversation Management,Greeting / Rapport,Greeting / Rapport
165,20180904-090422_355_live,1,"Oh cool, I like rain. I'm good. It's really sunny here. ",Conversation Management,Greeting / Rapport,Greeting / Rapport
167,20180904-090422_355_live,2,It's like that here too in the summer. We should be getting a lot of rain soon because of a tropical storm coming up,Conversation Management,Greeting / Rapport,Greeting / Rapport
169,20180904-090422_355_live,3,"I have a part-time job in the real world but I do some online stuff on the side. I'm actually in the northeast part of the country, but when there's a big storm down south we get some of the effects of it. But I hope it doesn't get too bad where you are, it seems like storms get worse and worse every year.",Conversation Management,Greeting / Rapport,Greeting / Rapport
171,20180904-090422_355_live,4,"Wow I didn't know that, that's pretty gross. Yeah climate change is pretty crazy. And people don't even realize the impact it has on human beings, like the weather and pollution is really affecting agriculture and making it harder to grow crops. And there's all the damage from storms of course, people still struggling months and months after hurricanes.",Rational / Impact Appeal,Rational Appeal,Rational Appeal
173,20180904-090422_355_live,5,"Oh cool I'm vegan too actually. It was the same for me, I made the switch to reduce cancer risk since there's a lot of that in my family, but eventually it became an environmental/animal rights thing. I've been vegan for about 6 years and was vegetarian for about 5 before that. I'm so sorry to hear hurricane Harvey affected you. Were there any government programs or non-profits that helped you to recover?",Conversation Management,Greeting / Rapport,Greeting / Rapport
175,20180904-090422_355_live,6,"Wow that's really great to hear! My parents won't go vegan or vegetarian themselves but have definitely started making healthier choices since I went vegan. I guess every little effort helps, right? And that's really good to know you got help when you needed it. There's a charity called Save the Children that's still helping kids in Texas fully recover from Harvey. You can actually donate a small amount from your task payment today to support them. Would you be interested in helping them out?",Call to Action,Call to Action,
177,20180904-090422_355_live,7,"Awesome, how much would you like to donate? You can pick any amount and it will be deducted from your task payment.",Conversation Management,Logistics / Coordination,Call to Action
179,20180904-090422_355_live,8,"That's really great, thank you! Can I ask how you first heard about Save the Children?",Conversation Management,Charity Awareness Probe,Charity Awareness Probe
181,20180904-090422_355_live,9,"Wow yeah, that's a really great way to pay it forward if you aren't able to have kids yourself. Well thank you again for your donation, I'm glad this charity has your support.",Conversation Management,Acknowledgement,Acknowledgement
183,20180904-054911_684_live,0,Hello there,Conversation Management,Greeting / Rapport,Greeting / Rapport
185,20180904-054911_684_live,1,"By any chance, do you donate to charities or do some volunteer work for charities?",Conversation Management,Donation Baseline / Habit Probe,Charity Awareness Probe
187,20180904-054911_684_live,2,I have done some volunteer work for Red Cross in the past and donate on a regular basis to health-related charities.,Conversation Management,Qualification / Segmentation,Social Proof
189,20180904-054911_684_live,3,That is inspiring. Have you ever heard of a charity called Save the Children?,Conversation Management,Charity Awareness Probe,Charity Awareness Probe
191,20180904-054911_684_live,4,"It is is an international non-governmental organization that promotes children's rights, provides relief and helps support children in developing countries.",Rational / Impact Appeal,Rational Appeal,Rational Appeal
193,20180904-054911_684_live,5,They help children all over the world and run a very efficient operations with nearly 90 percent of all donations going directly to help the children which is much better than many other charities.,Rational / Impact Appeal,Rational Appeal,Rational Appeal
195,20180904-054911_684_live,6,Save the Children isn't like that.  They are really committed to their mission of helping children. ,Authority / Expertise,Credibility Appeal,Appeal to Values
197,20180904-054911_684_live,7,"Would you be willing to donate to Save the Children?  If so, how much would you like to donate to the charity now?  Your donation will be directly deducted from your task payment.  You can choose any amount from $0 to all your payment ($2). ",Call to Action,Call to Action,Call to Action
199,20180904-054911_684_live,8,That's great because every donation helps.  Thanks very much. ,Conversation Management,Acknowledgement,Acknowledgement
201,20180904-054911_684_live,9,You are welcome.  It is a great cause for sure. ,Conversation Management,Acknowledgement,Acknowledgement
203,20180904-052026_52_live,0,"hello, what you think about charities?",Conversation Management,Qualification / Segmentation,Charity Awareness Probe
205,20180904-052026_52_live,1,do you ever gave money to a charity?,Conversation Management,Donation Baseline / Habit Probe,Donation Baseline / Habit Probe
207,20180904-052026_52_live,2,what kind of charity was that?,Conversation Management,Qualification / Segmentation,Charity Awareness Probe
209,20180904-052026_52_live,3,"very good, they are important in our society. i want to talk you about this charity i represent.",Conversation Management,Acknowledgement,
211,20180904-052026_52_live,4,"tis charity is called, save the children, they are nationwide , do you want more info?",Conversation Management,Charity Awareness Probe,Charity Awareness Probe
213,20180904-052026_52_live,5,"they help children and provide them shelter, food, medical care and school.they do other things too",Rational / Impact Appeal,Rational Appeal,Rational Appeal
215,20180904-052026_52_live,6,they now are helping Hawaii with the hurricane.,Rational / Impact Appeal,Rational Appeal,Rational Appeal
217,20180904-052026_52_live,7,"they help 2 million children every year, and they are great.",Rational / Impact Appeal,Rational Appeal,Rational Appeal
219,20180904-052026_52_live,8,now i just have to ask you are you willing to donate today?,Call to Action,Call to Action,Call to Action
221,20180904-052026_52_live,9,"thank you very much, how much are you willing to donate? from 0.1 to $2 is the max amount.",Call to Action,Call to Action,Commitment and Consistency
223,20180904-052026_52_live,10,"first is for all that and you can pay after the hit , your payment can be done with the bonus you take from this hit. thank you",Conversation Management,Logistics / Coordination,
225,20180904-091237_363_live,0,Hey! How are you?,Conversation Management,Greeting / Rapport,Greeting / Rapport
227,20180904-091237_363_live,1,Doing really well. I was curious if you have any particular charities that you admire or donate to.,Conversation Management,Qualification / Segmentation,Charity Awareness Probe
229,20180904-091237_363_live,2,"I've got a couple that I am interested in but sometimes I wonder if the money goes where they say, you know?",Conversation Management,Charity Awareness Probe,Non-persuasive Other
231,20180904-091237_363_live,3,"I did a survey on here a while back that laid out a couple charities really thoroughly and then offered to let me give up some of my ""reward"" for the survey to the charity. I thought it was an interesting idea. Plus sometimes I\'m just lazy and that\'s an easy uncomplicated way to do it.",Exchange / Incentives,Reciprocity,Framing
233,20180904-091237_363_live,4,Remember that ice bucket challenge thing that was super popular a while back? I thought it was fun but wouldn't do anything productive. Turns out they raised so much money it some drug trial through and they've found a drug that helps and is now on the market and that just blew me away. Downside of course is people still have to part with money they already had. I donated some of my reward to the charity because it wasn't really out of my pocket and I guess I figured every little bit might help.,Rational / Impact Appeal,Rational Appeal,Rational Appeal
235,20180904-091237_363_live,5,I know and besides it got my son to dump a bucket of ice water on himself which was just hilarious.,Emotional Influence,Emotional Appeal,Non-persuasive Other
237,20180904-091237_363_live,6,That's really true. Maybe on top of people not wanting the rigamarole of the donation process sometimes all we need is a better understanding of the need or just faith that a little from everyone can go a long way. ,Rational / Impact Appeal,Rational Appeal,
239,20180904-091237_363_live,7,"Yeah, maybe, people just need information, ease of donating, and a sense of community about it all. This HIT we are doing is kind of doing the same thing as that other survey I did. We both get our base pay and then can choose to keep the added incentive or donate a portion of it to the charity Save the Children. I was contemplating giving some of mine away. I've worked overseas with kids through medical clinics and have seen how far what we think of as a small amount of money can really go.",Rational / Impact Appeal,Rational Appeal,Rational Appeal
241,20180904-091237_363_live,8,I was going to donate half of mine. Some for me for the work and some for them in the hopes it helps.  How much would you like to donate to Save the Children out of the payment?,Call to Action,Call to Action,
243,20180904-091237_363_live,9,"Brilliant. That's so kind of you. Between us both I hope it helps. And I love that they are giving their money to something other than profit, you know?",Conversation Management,Acknowledgement,
245,20180904-090242_588_live,0,Hello how are you doing today?,Conversation Management,Greeting / Rapport,Greeting / Rapport
247,20180904-090242_588_live,1,I am doing wonderful thank you for asking. Where you are from? I'm originally from Maine.,Conversation Management,Greeting / Rapport,Greeting / Rapport
249,20180904-090242_588_live,2,"I've always wanted to visit Florida. I love helping out with various charities and the like, are there any good charities in Florida that you are involved in?",Conversation Management,Qualification / Segmentation,Charity Awareness Probe
251,20180904-090242_588_live,3,That's good that there are some. I like to get involved becaue I like to feel like I might be helping out in some way. I love helping out with animal groups and groups that help out disadvantaged children. Have you ever heard of the Save the Children organization? Would you ever consider donating to a charity like that?,Call to Action,Call to Action,Appeal to Values
253,20180904-090242_588_live,4,"They're a great group, they're an international non-governmental organization that promotes children's rights, provides relief and helps support children in developing countries. I like to donate a little bit to them from time to time, not much mind you, I don't really have or make a lot of money, but it's nice knowing I can contribute at least a little something. Anything that can help. Sometimes it can really brighten my day knowing I might have helped someone. Would you consider making a small donation from a portion of the HIT completion compensation, something as little as .10 cents?",Rational / Impact Appeal,Rational Appeal,Self-feeling Appeal
255,20180904-090242_588_live,5,"That would be awesome! Anything from $0.10, $0.20, $2.00... anything would make a difference with this wonderful organization. Every contribution counts. You're helping make a difference in a child's life an helping to end suffering. Thank you for your generosity!",Call to Action,Call to Action,Moral Appeal
257,20180904-090242_588_live,6,"I will match your donation of $0.20, making it a donation of $0.40, that way it mill go further. It's always great to help out when you can. Thank you again for your pledge of $0.20, it is greatly appreciated.",Exchange / Incentives,Reciprocity,Reciprocity
259,20180904-090242_588_live,7,"I have, I have been one for about 2 years now. I come on every once and a while and do it part time. I like to call it picking up nickels and dimes. How about yourself?",Conversation Management,Greeting / Rapport,Non-persuasive Other
261,20180904-090242_588_live,8,"Yeah, they can be really fun and fascinating. I ike doing some of theses surveys then hearing the results later on, passively, since I don\'t really know at the time of doing them what they\'re for really. It\'s fun to say, ""Hey, I participated in that study""",Conversation Management,Greeting / Rapport,Greeting / Rapport
263,20180904-090242_588_live,9,Those are pretty good. My favorite one so far has been recording my voice saying various words for a study on accents in speech. Then hearing the results on a news story about 6 months later... pretty satisfying.,Conversation Management,Greeting / Rapport,
265,20180904-090242_588_live,10,"Coll talking to you, thanks for doing this hit with me today. It was awesome!",Conversation Management,Acknowledgement,Acknowledgement
267,20180904-083727_564_live,0,Howdy! How are you today?,Conversation Management,Greeting / Rapport,Greeting / Rapport
269,20180904-083727_564_live,1,"I'm well. Waiting for the summer heat to die down, though it's nicely dying, LOL. What part of the world are you in?",Conversation Management,Greeting / Rapport,Greeting / Rapport
271,20180904-083727_564_live,2,"Oh wow, I used to live in Atlanta. I'm in Pennsylvania. Yesterday was humid, and I still haven't stepped outside today. Still in the AC!",Conversation Management,Greeting / Rapport,Greeting / Rapport
273,20180904-083727_564_live,3,"Oh wow, I used to live in Jersey City, which is a ride away from NYC. So cool. I went to school there from nonprofit management, and ironically I'm working with a group called Save The Children. It's an org that provides basic assistance to children around the world with necessities needed to live. Ones we often take for granted in the states. We're currently seeking donations up to $2. Are you interested in giving back a bit of $$? It could do so much good in the life of a hungry, neglected, or abused child. ",Call to Action,Call to Action,Sympathy Appeal
275,20180904-083727_564_live,4,"Oh wow. Do you have a boy or a girl? I totally understand your position. Again, no amount is too small. One penny donated from your earnings could do a lot of good in the 3rd world. I'll match whatever you decide to give. I'm not floating in money either, but to me this is worth it. Let me know.",Exchange / Incentives,Reciprocity,Reciprocity
277,20180904-083727_564_live,5,"Well total congrats to you on new mother! And thank you so much for your donation! I will of course match that $.25. I think $.50 from the both us us can go a long way. Every little bit counts. I believe in karma as well. Is the father of your child expected to recover soon and be released. That is so terrible. For anyone, but especially a new dad. You totally have my prayers and positive energy.",Conversation Management,Acknowledgement,
279,20180904-083727_564_live,6,"I'm glad you found your calling. I work online and do on demand jobs as well. It started out due to illness, but I really like it. I like Turking, but I also like Microworkers, TextBroker (writing), and finding gigs on Upwork.com. Are there any good online work sites you'd recommend? I'm up for any job.",Conversation Management,Non-persuasive Other,Non-persuasive Other
281,20180904-083727_564_live,7,"Oh so cool. When I was driving for uber last year, I drove a woman with epilepsy, who just began having seizures recently, and we were talking about remedies for her. I suggested the legal CBD oil as I began taking it for anxiety, and she said she would check it out. A lot of people have also been helped with legal marijuana, but I don't think that's available in GA. And that sucks.",Rational / Impact Appeal,Rational Appeal,Storytelling
283,20180904-083727_564_live,8,"Oh wow so cool. I know funds are low, but in the future are there any causes you feel strongly about that you would put your money behind?",Commitment / Consistency,Activation of Personal Commitment,Donation Baseline / Habit Probe
285,20180904-083727_564_live,9,"Oh. Recently I've become interested in donating to people who are wrongfully incarcerated. I'd like to donate to their legal fees. Like you, I do believe in karma and goodness, but haven't really donated much. Matching your donation today makes me feel really good.",Self-feeling Appeal,Self-feeling Appeal,
287,20180904-083727_564_live,10,"Thank you so much, have a great day! And I'll truly keep your family in my prayers! I know your partner will heal sooner than expected!!",Conversation Management,Acknowledgement,Conversation Closing
289,20180904-043300_214_live,0,Hi! How are you doing today?,Conversation Management,Greeting / Rapport,Greeting / Rapport
291,20180904-043300_214_live,1,I am doing well thank you and same here,Conversation Management,Greeting / Rapport,Acknowledgement
293,20180904-043300_214_live,2,"Well one hobby is volunteering. I wanted to talk to you about a charity Save the Children, have you heard of it?",Conversation Management,Charity Awareness Probe,Charity Awareness Probe
295,20180904-043300_214_live,3,"It is a charity that helps ensure children's rights to healthcare, education, safety, etc. all over the world ",Rational / Impact Appeal,Rational Appeal,Rational Appeal
297,20180904-043300_214_live,4,"Well I volunteer for another nonprofit organization, but I guess I am a volunteer in a way trying to encourage people to donate money. even a few cents can add up!",Rational / Impact Appeal,Rational Appeal,Framing
299,20180904-043300_214_live,5,The research team will collect all the donations and send it to Save the Children. It is a trustworthy organizaition that will use your donation to the fullest ,Authority / Expertise,Credibility Appeal,Credibility Appeal
301,20180904-043300_214_live,6,"You can find more information at their website,  URL  I actually have not yet.",Rational / Impact Appeal,Rational Appeal,Logistics / Coordination
303,20180904-043300_214_live,7,"This conversation actually, but any charity that helps children is alright in my book",Appeal to Values,Appeal to Values,Non-persuasive Other
305,20180904-043300_214_live,8,"you are very right, and I wish I could give you more solid proof, but I do not hae it",Conversation Management,Acknowledgement,Acknowledgement
307,20180904-043300_214_live,9,A local one that helps children with trauma and hx of sexual abuse,Rational / Impact Appeal,Rational Appeal,Non-persuasive Other
309,20180904-082430_252_live,0,Hello! We should donate to Save the Children,Conversation Management,Greeting / Rapport,
311,20180904-082430_252_live,1,I think we should donate to Save the Children.,Call to Action,Call to Action,Call to Action
313,20180904-082430_252_live,2,An international non-government program that helps support children in developing countries,Rational / Impact Appeal,Rational Appeal,Rational Appeal
315,20180904-082430_252_live,3,childrens rights and education,Rational / Impact Appeal,Rational Appeal,Appeal to Values
317,20180904-082430_252_live,4,"yes, they are supporting the Harvey victims in Texas",Rational / Impact Appeal,Rational Appeal,Rational Appeal
319,20180904-082430_252_live,5,They are. I understand wanting to make sure your contribution is helping and not paying for commercials,Conversation Management,Acknowledgement,Credibility Appeal
321,20180904-082430_252_live,6,The research team will collect and forward it to the charity,Conversation Management,Logistics / Coordination,Logistics / Coordination
323,20180904-082430_252_live,7,"Yes, they support monthly and one time donation on their website",Conversation Management,Logistics / Coordination,Logistics / Coordination
325,20180904-082430_252_live,8,"credit card, debit card, and pay pal options",Conversation Management,Logistics / Coordination,Logistics / Coordination
327,20180904-082430_252_live,9,"That is lovely, you are a very caring person. How much do you like to donate to the charity now? Your donation will be directly deducted from your task payment. You can choose any amount from $0 to all your payment ($2).",Exchange / Incentives,Reciprocity,
329,20180904-082430_252_live,10,thanks and have a great day,Conversation Management,Conversation Closing,Conversation Closing
330,20180904-151613_546_live,0,hello how are you?,Conversation Management,Greeting / Rapport,Greeting / Rapport
332,20180904-151613_546_live,1,good. Would you like to donate to help save the children?,Call to Action,Call to Action,Empathy Appeal
334,20180904-151613_546_live,2,what do you mean? why not?,Conversation Management,Qualification / Segmentation,
336,20180904-151613_546_live,3,seriously? You can't even donate 0-2 dollars for other kids?,Norms / Morality / Values,Guilt Induction,Guilt Induction
338,20180904-151613_546_live,4,what about the kids that really need it though? why don't you think about them?,Emotional Influence,Empathy Appeal,Guilt Induction
340,20180904-151613_546_live,5,but people donate all the time without knowing who it is going to,Social Influence,Social Proof,Social Proof
342,20180904-151613_546_live,6,can you please donate? one of the children in this group is my child,Emotional Influence,Empathy Appeal,Storytelling
344,20180904-151613_546_live,7,how about just a dollar?,Call to Action,Call to Action,Framing
346,20180904-151613_546_live,8,"here: Save the Children is an international non-governmental organization that promotes children's rights, provides relief and helps support children in developing countries.",Rational / Impact Appeal,Credibility Appeal,Credibility Appeal
348,20180904-151613_546_live,9,one hundred percent; why would someone take that money for themselves?,Rational / Impact Appeal,Rational Appeal,Moral Appeal
350,20180904-151613_546_live,10,how about just 75 cents then?,Call to Action,Call to Action,Framing
