B2,donated,donation_amount,n_negative,n_neutral,n_positive,has_negative,has_positive,positive_rate,negative_rate,dominant_sentiment,n_messages,positive_rate_group,sentiment_combo
20180808-024552_152_live,0,0.0,5,5,0,1,0,0.0,50.0,neutral,10,,Только негативный
20180808-030338_328_live,0,0.0,0,6,4,0,1,40.0,0.0,neutral,10,25-50%,Только позитивный
20180808-030454_242_live,1,0.25,0,5,5,0,1,50.0,0.0,neutral,10,25-50%,Только позитивный
20180808-032041_562_live,0,0.0,0,3,7,0,1,70.0,0.0,positive,10,50-75%,Только позитивный
20180808-032124_114_live,0,0.0,0,9,1,0,1,10.0,0.0,neutral,10,0-25%,Только позитивный
20180808-032354_369_live,0,0.0,1,8,1,1,1,10.0,10.0,neutral,10,0-25%,Позитивный + Негативный
20180808-032545_201_live,0,0.0,2,5,3,1,1,30.0,20.0,neutral,10,25-50%,Позитивный + Негативный
20180808-033451_555_live,1,0.5,0,3,7,0,1,70.0,0.0,positive,10,50-75%,Только позитивный
20180808-034352_717_live,1,0.1,1,3,6,1,1,60.0,10.0,positive,10,50-75%,Позитивный + Негативный
20180808-034448_815_live,0,0.0,1,7,2,1,1,20.0,10.0,neutral,10,0-25%,Позитивный + Негативный
20180808-035431_488_live,1,0.1,0,4,6,0,1,60.0,0.0,positive,10,50-75%,Только позитивный
20180808-035715_390_live,0,0.0,0,5,5,0,1,50.0,0.0,neutral,10,25-50%,Только позитивный
20180808-040435_931_live,0,0.0,1,10,0,1,0,0.0,9.090909090909092,neutral,11,,Только негативный
20180808-042339_620_live,0,0.0,1,4,5,1,1,50.0,10.0,positive,10,25-50%,Позитивный + Негативный
20180808-043445_804_live,1,0.5,1,7,3,1,1,27.27272727272727,9.090909090909092,neutral,11,25-50%,Позитивный + Негативный
20180808-045404_162_live,0,0.0,0,2,8,0,1,80.0,0.0,positive,10,75-100%,Только позитивный
20180808-050533_601_live,0,0.0,3,6,1,1,1,10.0,30.0,neutral,10,0-25%,Позитивный + Негативный
20180808-052501_689_live,1,10.0,1,2,7,1,1,70.0,10.0,positive,10,50-75%,Позитивный + Негативный
20180808-061420_905_live,0,0.0,1,2,7,1,1,70.0,10.0,positive,10,50-75%,Позитивный + Негативный
20180808-062753_12_live,0,0.0,0,8,2,0,1,20.0,0.0,neutral,10,0-25%,Только позитивный
20180808-063034_444_live,0,0.0,2,7,1,1,1,10.0,20.0,neutral,10,0-25%,Позитивный + Негативный
20180808-064212_144_live,0,0.0,2,5,3,1,1,30.0,20.0,neutral,10,25-50%,Позитивный + Негативный
20180808-064649_236_live,0,0.0,0,3,7,0,1,70.0,0.0,positive,10,50-75%,Только позитивный
20180808-065307_529_live,0,0.0,1,5,4,1,1,40.0,10.0,neutral,10,25-50%,Позитивный + Негативный
20180808-070517_921_live,1,2.0,0,1,9,0,1,90.0,0.0,positive,10,75-100%,Только позитивный
20180808-073516_16_live,0,0.0,1,3,6,1,1,60.0,10.0,positive,10,50-75%,Позитивный + Негативный
20180808-073746_228_live,1,0.5,1,6,3,1,1,30.0,10.0,neutral,10,25-50%,Позитивный + Негативный
20180808-074917_388_live,0,0.0,1,8,2,1,1,18.181818181818183,9.090909090909092,neutral,11,0-25%,Позитивный + Негативный
20180808-075748_956_live,0,0.0,0,6,4,0,1,40.0,0.0,neutral,10,25-50%,Только позитивный
20180808-075816_12_live,0,0.0,0,5,5,0,1,50.0,0.0,neutral,10,25-50%,Только позитивный
20180808-081317_142_live,0,0.0,0,7,3,0,1,30.0,0.0,neutral,10,25-50%,Только позитивный
20180823-020508_596_live,0,0.0,0,6,4,0,1,40.0,0.0,neutral,10,25-50%,Только позитивный
20180823-020542_443_live,0,0.0,0,5,5,0,1,50.0,0.0,neutral,10,25-50%,Только позитивный
20180823-021414_711_live,1,0.2,0,2,8,0,1,80.0,0.0,positive,10,75-100%,Только позитивный
20180823-021454_370_live,0,0.0,2,5,3,1,1,30.0,20.0,neutral,10,25-50%,Позитивный + Негативный
20180823-022522_183_live,1,0.3,1,2,7,1,1,70.0,10.0,positive,10,50-75%,Позитивный + Негативный
20180823-023349_326_live,1,0.2,4,5,1,1,1,10.0,40.0,neutral,10,0-25%,Позитивный + Негативный
20180824-015242_301_live,0,0.0,3,5,2,1,1,20.0,30.0,neutral,10,0-25%,Позитивный + Негативный
20180824-015542_821_live,0,0.0,0,5,5,0,1,50.0,0.0,neutral,10,25-50%,Только позитивный
20180824-020237_732_live,0,0.0,0,9,1,0,1,10.0,0.0,neutral,10,0-25%,Только позитивный
20180824-020419_695_live,1,0.85,2,5,3,1,1,30.0,20.0,neutral,10,25-50%,Позитивный + Негативный
20180824-022557_24_live,0,0.0,2,3,5,1,1,50.0,20.0,positive,10,25-50%,Позитивный + Негативный
20180824-022709_450_live,0,0.0,0,2,8,0,1,80.0,0.0,positive,10,75-100%,Только позитивный
20180824-023730_85_live,0,0.0,0,5,5,0,1,50.0,0.0,neutral,10,25-50%,Только позитивный
20180824-024455_408_live,0,0.0,0,3,7,0,1,70.0,0.0,positive,10,50-75%,Только позитивный
20180824-025834_522_live,0,0.0,0,6,4,0,1,40.0,0.0,neutral,10,25-50%,Только позитивный
20180824-031232_169_live,1,0.02,0,3,7,0,1,70.0,0.0,positive,10,50-75%,Только позитивный
20180824-120314_637_live,1,0.15,0,7,3,0,1,30.0,0.0,neutral,10,25-50%,Только позитивный
20180824-120504_474_live,0,0.0,1,4,5,1,1,50.0,10.0,positive,10,25-50%,Позитивный + Негативный
20180824-121026_498_live,0,0.0,2,4,4,1,1,40.0,20.0,neutral,10,25-50%,Позитивный + Негативный
20180824-121207_770_live,0,0.0,4,5,1,1,1,10.0,40.0,neutral,10,0-25%,Позитивный + Негативный
20180824-121457_149_live,0,0.0,2,8,0,1,0,0.0,20.0,neutral,10,,Только негативный
20180824-121720_619_live,1,0.15,0,4,6,0,1,60.0,0.0,positive,10,50-75%,Только позитивный
20180824-121933_745_live,0,0.0,2,6,2,1,1,20.0,20.0,neutral,10,0-25%,Позитивный + Негативный
20180824-121958_772_live,0,0.0,1,6,3,1,1,30.0,10.0,neutral,10,25-50%,Позитивный + Негативный
20180824-122020_491_live,1,0.15,0,8,2,0,1,20.0,0.0,neutral,10,0-25%,Только позитивный
20180824-122128_891_live,0,0.0,0,4,6,0,1,60.0,0.0,positive,10,50-75%,Только позитивный
20180824-122144_159_live,1,1.0,0,5,5,0,1,50.0,0.0,neutral,10,25-50%,Только позитивный
20180824-122300_862_live,0,0.0,0,9,1,0,1,10.0,0.0,neutral,10,0-25%,Только позитивный
20180824-122416_255_live,1,0.25,0,6,5,0,1,45.45454545454545,0.0,neutral,11,25-50%,Только позитивный
20180824-122513_936_live,1,0.2,2,5,3,1,1,30.0,20.0,neutral,10,25-50%,Позитивный + Негативный
20180824-122531_924_live,1,0.25,0,6,4,0,1,40.0,0.0,neutral,10,25-50%,Только позитивный
20180824-122741_281_live,1,0.5,0,3,7,0,1,70.0,0.0,positive,10,50-75%,Только позитивный
20180824-122747_679_live,0,0.0,1,4,6,1,1,54.54545454545454,9.090909090909092,positive,11,50-75%,Позитивный + Негативный
20180824-122919_69_live,0,0.0,0,6,4,0,1,40.0,0.0,neutral,10,25-50%,Только позитивный
20180824-123012_292_live,1,0.8,2,6,2,1,1,20.0,20.0,neutral,10,0-25%,Позитивный + Негативный
20180824-123136_997_live,1,0.15,0,7,3,0,1,30.0,0.0,neutral,10,25-50%,Только позитивный
20180824-123946_581_live,1,0.5,0,6,4,0,1,40.0,0.0,neutral,10,25-50%,Только позитивный
20180824-124214_397_live,1,30.0,0,4,6,0,1,60.0,0.0,positive,10,50-75%,Только позитивный
20180824-124301_523_live,0,0.0,2,5,3,1,1,30.0,20.0,neutral,10,25-50%,Позитивный + Негативный
20180824-125336_572_live,1,0.29,1,8,1,1,1,10.0,10.0,neutral,10,0-25%,Позитивный + Негативный
20180824-130121_505_live,1,0.5,1,5,4,1,1,40.0,10.0,neutral,10,25-50%,Позитивный + Негативный
20180824-130122_363_live,0,0.0,0,9,1,0,1,10.0,0.0,neutral,10,0-25%,Только позитивный
20180824-130244_446_live,1,0.2,0,2,8,0,1,80.0,0.0,positive,10,75-100%,Только позитивный
20180824-130402_610_live,1,0.1,0,5,5,0,1,50.0,0.0,neutral,10,25-50%,Только позитивный
20180824-130913_64_live,1,0.5,1,4,5,1,1,50.0,10.0,positive,10,25-50%,Позитивный + Негативный
20180824-131145_239_live,1,0.15,0,8,2,0,1,20.0,0.0,neutral,10,0-25%,Только позитивный
20180824-131621_775_live,0,0.0,0,10,0,0,0,0.0,0.0,neutral,10,,Только нейтральный
20180825-042845_49_live,1,0.3,1,3,6,1,1,60.0,10.0,positive,10,50-75%,Позитивный + Негативный
20180825-043229_970_live,0,0.0,0,5,5,0,1,50.0,0.0,neutral,10,25-50%,Только позитивный
20180825-043341_782_live,1,0.1,0,2,8,0,1,80.0,0.0,positive,10,75-100%,Только позитивный
20180825-043516_619_live,0,0.0,2,5,3,1,1,30.0,20.0,neutral,10,25-50%,Позитивный + Негативный
20180825-044048_639_live,1,0.05,0,3,7,0,1,70.0,0.0,positive,10,50-75%,Только позитивный
20180825-044252_786_live,1,0.05,0,2,8,0,1,80.0,0.0,positive,10,75-100%,Только позитивный
20180825-044358_663_live,0,0.0,1,3,6,1,1,60.0,10.0,positive,10,50-75%,Позитивный + Негативный
20180825-044613_233_live,1,0.5,1,5,4,1,1,40.0,10.0,neutral,10,25-50%,Позитивный + Негативный
20180825-045559_409_live,0,0.0,0,6,4,0,1,40.0,0.0,neutral,10,25-50%,Только позитивный
20180825-050306_247_live,0,0.0,0,6,4,0,1,40.0,0.0,neutral,10,25-50%,Только позитивный
20180825-051212_932_live,1,7.0,0,5,5,0,1,50.0,0.0,neutral,10,25-50%,Только позитивный
20180825-051455_889_live,0,0.0,2,4,4,1,1,40.0,20.0,neutral,10,25-50%,Позитивный + Негативный
20180825-051852_679_live,0,0.0,4,5,1,1,1,10.0,40.0,neutral,10,0-25%,Позитивный + Негативный
20180825-051947_478_live,0,0.0,0,4,6,0,1,60.0,0.0,positive,10,50-75%,Только позитивный
20180825-052611_640_live,0,0.0,3,6,1,1,1,10.0,30.0,neutral,10,0-25%,Позитивный + Негативный
20180825-053544_897_live,0,0.0,1,5,4,1,1,40.0,10.0,neutral,10,25-50%,Позитивный + Негативный
20180825-053711_81_live,1,1.0,8,2,0,1,0,0.0,80.0,negative,10,,Только негативный
20180825-054948_621_live,1,0.3,1,7,2,1,1,20.0,10.0,neutral,10,0-25%,Позитивный + Негативный
20180825-055034_34_live,0,0.0,0,10,0,0,0,0.0,0.0,neutral,10,,Только нейтральный
20180825-055321_232_live,1,0.1,0,6,4,0,1,40.0,0.0,neutral,10,25-50%,Только позитивный
20180825-055427_625_live,1,0.3,0,1,9,0,1,90.0,0.0,positive,10,75-100%,Только позитивный
20180825-060055_854_live,1,0.2,1,5,4,1,1,40.0,10.0,neutral,10,25-50%,Позитивный + Негативный
20180825-060212_445_live,1,0.1,0,2,8,0,1,80.0,0.0,positive,10,75-100%,Только позитивный
20180825-060251_387_live,1,0.15,1,5,4,1,1,40.0,10.0,neutral,10,25-50%,Позитивный + Негативный
20180825-060648_863_live,1,2.0,3,1,6,1,1,60.0,30.0,positive,10,50-75%,Позитивный + Негативный
20180825-061105_792_live,1,0.15,1,2,7,1,1,70.0,10.0,positive,10,50-75%,Позитивный + Негативный
20180825-062128_451_live,1,0.5,0,2,8,0,1,80.0,0.0,positive,10,75-100%,Только позитивный
20180825-062219_874_live,0,0.0,0,5,5,0,1,50.0,0.0,neutral,10,25-50%,Только позитивный
20180825-063009_943_live,0,0.0,3,7,0,1,0,0.0,30.0,neutral,10,,Только негативный
20180825-063117_677_live,1,0.2,0,5,5,0,1,50.0,0.0,neutral,10,25-50%,Только позитивный
20180825-063753_619_live,1,0.1,0,3,7,0,1,70.0,0.0,positive,10,50-75%,Только позитивный
20180825-064001_264_live,1,0.2,1,2,7,1,1,70.0,10.0,positive,10,50-75%,Позитивный + Негативный
20180825-064038_102_live,0,0.0,1,6,3,1,1,30.0,10.0,neutral,10,25-50%,Позитивный + Негативный
20180825-064811_939_live,1,0.05,2,2,6,1,1,60.0,20.0,positive,10,50-75%,Позитивный + Негативный
20180825-064838_945_live,0,0.0,1,4,5,1,1,50.0,10.0,positive,10,25-50%,Позитивный + Негативный
20180825-065106_23_live,1,0.1,1,3,6,1,1,60.0,10.0,positive,10,50-75%,Позитивный + Негативный
20180825-065411_526_live,1,0.1,0,5,5,0,1,50.0,0.0,neutral,10,25-50%,Только позитивный
20180825-070515_947_live,1,0.25,0,2,8,0,1,80.0,0.0,positive,10,75-100%,Только позитивный
20180825-070857_925_live,0,0.0,1,4,5,1,1,50.0,10.0,positive,10,25-50%,Позитивный + Негативный
20180825-070900_49_live,1,0.25,0,6,4,0,1,40.0,0.0,neutral,10,25-50%,Только позитивный
20180825-071316_761_live,0,0.0,0,2,8,0,1,80.0,0.0,positive,10,75-100%,Только позитивный
20180825-071459_643_live,1,0.15,2,3,5,1,1,50.0,20.0,positive,10,25-50%,Позитивный + Негативный
20180825-071727_819_live,1,0.15,0,5,5,0,1,50.0,0.0,neutral,10,25-50%,Только позитивный
20180825-071757_571_live,1,0.15,1,5,4,1,1,40.0,10.0,neutral,10,25-50%,Позитивный + Негативный
20180825-073030_73_live,1,0.05,0,4,6,0,1,60.0,0.0,positive,10,50-75%,Только позитивный
20180825-073559_995_live,0,0.0,0,3,7,0,1,70.0,0.0,positive,10,50-75%,Только позитивный
20180825-073629_433_live,0,0.0,3,6,1,1,1,10.0,30.0,neutral,10,0-25%,Позитивный + Негативный
20180825-073809_134_live,0,0.0,0,6,4,0,1,40.0,0.0,neutral,10,25-50%,Только позитивный
20180825-073813_141_live,0,0.0,1,4,5,1,1,50.0,10.0,positive,10,25-50%,Позитивный + Негативный
20180825-074318_984_live,1,0.3,1,1,8,1,1,80.0,10.0,positive,10,75-100%,Позитивный + Негативный
20180825-075451_984_live,1,0.1,2,3,5,1,1,50.0,20.0,positive,10,25-50%,Позитивный + Негативный
20180825-075611_866_live,1,0.05,0,6,4,0,1,40.0,0.0,neutral,10,25-50%,Только позитивный
20180825-075627_48_live,0,0.0,4,6,0,1,0,0.0,40.0,neutral,10,,Только негативный
20180825-075630_493_live,1,1.0,0,5,5,0,1,50.0,0.0,neutral,10,25-50%,Только позитивный
20180825-075647_663_live,0,0.0,1,6,4,1,1,36.36363636363637,9.090909090909092,neutral,11,25-50%,Позитивный + Негативный
20180825-075658_709_live,0,0.0,0,6,4,0,1,40.0,0.0,neutral,10,25-50%,Только позитивный
20180825-075835_273_live,0,0.0,0,2,8,0,1,80.0,0.0,positive,10,75-100%,Только позитивный
